"","YearMonth","PRCP","states"
"1","1995-01",98.4,10
"2","1995-02",65.4,7
"3","1995-03",54.9,5
"4","1995-04",14,1
"5","1995-05",23.2,2
"6","1995-06",16,2
"7","1995-07",23.5,2
"8","1995-08",1.3,0
"9","1995-09",85.7,9
"10","1995-10",23.2,2
"11","1995-11",46.1,5
"12","1995-12",89.6,9
"13","1996-01",38.2,4
"14","1996-02",59,6
"15","1996-03",38.3,4
"16","1996-04",38.3,4
"17","1996-05",48.7,5
"18","1996-06",9.9,1
"19","1996-07",34.3,3
"20","1996-08",67.3,7
"21","1996-09",21.9,2
"22","1996-10",33.4,3
"23","1996-11",85.9,9
"24","1996-12",21,2
"25","1997-01",9.2,1
"26","1997-02",58.6,6
"27","1997-03",10.4,1
"28","1997-04",13.6,1
"29","1997-05",49.1,5
"30","1997-06",98.5,10
"31","1997-07",28,3
"32","1997-08",68.8,7
"33","1997-09",9.5,1
"34","1997-10",61.5,6
"35","1997-11",71.6,7
"36","1997-12",59.2,6
"37","1998-01",74.3,7
"38","1998-02",8.3,1
"39","1998-03",47,5
"40","1998-04",125.7,13
"41","1998-05",19.4,2
"42","1998-06",78.4,8
"43","1998-07",29.9,3
"44","1998-08",28.5,3
"45","1998-09",107.6,11
"46","1998-10",97.2,10
"47","1998-11",50.1,5
"48","1998-12",73.5,7
"49","1999-01",80,8
"50","1999-02",22.7,2
"51","1999-03",31.5,3
"52","1999-04",50.7,5
"53","1999-05",36.1,4
"54","1999-06",74.8,7
"55","1999-07",17.2,2
"56","1999-08",118,12
"57","1999-09",80.9,8
"58","1999-10",40.1,4
"59","1999-11",27.3,3
"60","1999-12",87.2,9
"61","2000-01",16.6,2
"62","2000-02",71.3,7
"63","2000-03",18.5,2
"64","2000-04",108.2,11
"65","2000-05",85.6,9
"66","2000-06",38.3,4
"67","2000-07",59,6
"68","2000-08",39.6,4
"69","2000-09",105.8,11
"70","2000-10",131.2,13
"71","2000-11",125.8,13
"72","2000-12",72.5,7
"73","2001-01",72.3,7
"74","2001-02",85.4,9
"75","2001-03",105.4,11
"76","2001-04",67.9,7
